Data;DTP - 01 ano(1º REF);Poliomielite(VOP/VIP)(1ºREF);FA(< 1 ano);Varicela;Tríplice Viral - D1;Rotavírus Humano;Pneumocóccica(1 ano);Menigocócica Conj.C(< 1 ano);Pentavalente (< 1 ano);Tríplice Viral - D2;Hepatite A;Pneumocóccica(<1 ano);BCG;Menigocócica Conj.C(1 ano);Poliomielite(< 1 ano);População;Região
01/12/2020;61,96;56,68;68,99;63,27;65,47;85,68;68,11;74,7;92,71;61,52;55,36;90,96;100,62;60,64;78,21;2731;316 - AMMOC - JOACABA
01/02/2016;67,82;44,74;0;39,09;101,26;79,12;75,35;81;79,59;48,98;8,48;83,83;107,38;96,08;53,22;2548;314 - AMESC - ARARANGUA
01/09/2018;69,95;64,81;75,61;72,52;50,41;91,04;60,69;103,9;75,1;72,01;67,38;87,96;101,84;71,5;73,04;2333;309 - AMAI - XANXERE
01/03/2019;51,89;87,81;104,95;96,03;97,2;101,66;104,25;85,7;111,76;97,67;97,67;103,31;110,82;94,85;113,87;5111;319 - AMPLA - MAFRA
01/03/2018;68,3;69,14;18,75;35,8;92,04;80,13;58,23;90,58;78,36;39,1;44,79;53,32;101,25;84,12;97,18;15620;326 - GRANFPOLIS - FPOLIS
01/09/2021;70,57;67,57;42,34;61,86;92,49;90,09;57,06;82,88;81,98;43,84;66,67;90,39;74,77;80,78;81,08;3996;323 - AMURES - LAGES
01/12/2022;75,06;68,12;72,04;77,77;68,12;88,62;59,98;83,5;86,51;71,74;77,47;88,62;88,32;62,09;86,51;3981;312 - AMAVI - RIO DO SUL
01/04/2017;101,84;101,17;79,73;104,52;101,17;101,17;93,13;90,45;85,76;105,19;101,84;112,56;131,99;93,8;83,75;1791;309 - AMAI - XANXERE
01/07/2017;99,37;91,37;0;99,84;95,13;109,26;90,42;107,38;98,9;99,84;96,08;109,26;118,21;96,55;96,08;2548;314 - AMESC - ARARANGUA
01/12/2021;67,37;66,06;70;72,18;84,87;79,18;77,87;88,37;84,43;55,56;70,87;82,68;76,12;74,81;82,68;2743;316 - AMMOC - JOACABA
01/02/2015;81,24;74,72;0,5;75,72;115,34;91,27;116,34;98,29;104,81;73,21;112,83;121,86;112,33;101,3;102,8;2393;314 - AMESC - ARARANGUA
01/10/2015;16,43;16,09;3,08;18,15;21,23;43,82;16,43;34,58;43,48;17,8;21,57;44,85;35,61;19,86;42,8;3505;325 - AMVALI - JARAGUA DO SUL
01/09/2017;58,29;118,59;188,27;123,28;137,35;241,21;125,96;182,24;194,3;123,95;119,93;192,96;160,13;124,62;194,3;1791;309 - AMAI - XANXERE
01/03/2019;59,51;94,44;98,45;98,81;112,74;106,98;118,51;110,12;114,2;100,35;107,2;110,19;45,72;110,63;116,46;16455;326 - GRANFPOLIS - FPOLIS
01/09/2020;78,73;84,98;58,27;75,6;95,22;97,49;66,51;100,05;83,85;58,55;88,96;110;32,97;96,35;85,27;4222;323 - AMURES - LAGES
01/12/2021;71,52;67,99;76,53;67,4;64,16;71,82;60,04;71,23;66,81;58,57;67,7;75,06;63,87;55,92;66,23;4077;312 - AMAVI - RIO DO SUL
01/04/2016;108,54;0,67;81,74;113,9;113,23;106,53;116,58;125,29;112,56;115,91;107,87;116,58;117,25;121,94;106,53;1791;309 - AMAI - XANXERE
01/07/2016;92,78;0,47;0;100,78;82,42;103,14;73;84,77;93,72;104,08;95,13;94,19;84,3;82,89;89,01;2548;314 - AMESC - ARARANGUA
01/08/2017;99,37;90,89;0;97,49;98,9;89,48;97,96;106,44;88,07;97,49;98,9;111,62;111,62;99,84;93,25;2548;314 - AMESC - ARARANGUA
01/02/2018;82,82;77,82;32,76;80,55;93,29;68,26;94,2;90,1;48,24;80,55;84,19;76,91;62,8;92,83;77,82;2637;314 - AMESC - ARARANGUA
01/03/2017;96,34;96,11;109,51;96,11;104,89;91,03;97,73;91,49;97,5;96,34;98,42;94,72;114,36;99,11;96,57;5194;319 - AMPLA - MAFRA
01/09/2016;155,44;495,14;210,39;153,43;140,7;188,94;142,71;164,82;188,94;154,1;169,51;178,22;176,88;150,08;191,62;1791;309 - AMAI - XANXERE
